strategy,category,coverage
proposed,safety_stop,0.45
proposed,safety_zone,0.1
proposed,seismic_response,1.0
proposed,ssm,0.5
proposed,static_obstacle,0.7
proposed,throughput,0.3
proposed,traffic_advisory,0.26666666666666666
proposed,traffic_management,0.9
proposed,turbulence,0.5
proposed,visibility,0.9
proposed,wind,0.5333333333333333
proposed_with_few_shot,access_control,0.3
proposed_with_few_shot,accessibility,0.4
proposed_with_few_shot,agv_handshake,0.65
proposed_with_few_shot,agv_signaling,0.8
proposed_with_few_shot,boarding,1.0
proposed_with_few_shot,collision_avoidance,1.0
proposed_with_few_shot,contact_safety,0.3
proposed_with_few_shot,delivery,0.5
proposed_with_few_shot,door_interaction,1.0
proposed_with_few_shot,door_safety,1.0
proposed_with_few_shot,dynamic_obstacle,0.9
proposed_with_few_shot,electrical_safety,1.0
proposed_with_few_shot,emergency_request,1.0
proposed_with_few_shot,emergency_response,1.0
proposed_with_few_shot,emergency_stop,0.95
proposed_with_few_shot,energy_management,0.0
proposed_with_few_shot,fault_handling,1.0
proposed_with_few_shot,fire_response,0.8333333333333334
proposed_with_few_shot,fleet_communication,0.15
proposed_with_few_shot,functional_safety,0.9
proposed_with_few_shot,general_operation,1.0
proposed_with_few_shot,geofence,0.1
proposed_with_few_shot,gps_degrade,1.0
proposed_with_few_shot,gps_jam,1.0
proposed_with_few_shot,gps_loss,0.55
proposed_with_few_shot,gps_spoof,0.0
proposed_with_few_shot,gust,0.5
proposed_with_few_shot,landing_pad,0.7666666666666667
proposed_with_few_shot,link_loss,0.2
proposed_with_few_shot,load_protection,0.5
proposed_with_few_shot,maintenance_mode,0.65
proposed_with_few_shot,manual_task,1.0
proposed_with_few_shot,movement_control,1.0
proposed_with_few_shot,moving_target,0.9
proposed_with_few_shot,path_crossing,0.7
proposed_with_few_shot,power_management,0.8
proposed_with_few_shot,request_call,1.0
proposed_with_few_shot,safety_interlock,0.3
proposed_with_few_shot,safety_stop,0.65
proposed_with_few_shot,safety_zone,0.3
proposed_with_few_shot,seismic_response,1.0
proposed_with_few_shot,ssm,0.1
proposed_with_few_shot,static_obstacle,0.7
proposed_with_few_shot,throughput,0.6
proposed_with_few_shot,traffic_advisory,0.43333333333333335
proposed_with_few_shot,traffic_management,1.0
proposed_with_few_shot,turbulence,1.0
proposed_with_few_shot,visibility,0.8
proposed_with_few_shot,wind,0.5666666666666667
