domain,object,idx,behavior,category,matched,total,rate
elevator,building_system,6,Scheduled maintenance mode signal locking out normal service,maintenance_mode,18,40,0.45
drone,weather_environment,3,In-flight wind change via simulator parameters during simulation,wind,18,40,0.45
drone,ground_target,5,Multi-vehicle simulation with cooperative ground vehicle,moving_target,19,40,0.475
smart_factory,conveyor_system,0,Emergency stop activation halting belt motion,emergency_stop,19,40,0.475
elevator,elevator_car,1,Door reopen on obstruction with kinetic energy limit and acoustic signal on detector failure,door_safety,20,40,0.5
elevator,passenger,2,Trigger door reopen by interrupting light curtain when entering or exiting,door_interaction,20,40,0.5
elevator,building_system,1,Firefighter switch operation enabling Phase 2 in-car firefighter control,fire_response,21,40,0.525
elevator,passenger,3,Hold door open by pressing door open button or extending dwell time,door_interaction,22,40,0.55
smart_factory,conveyor_system,5,Speed and throughput variation affecting AGV scheduling,general_operation,22,40,0.55
smart_factory,factory_equipment,3,Machine breakdown emitting fault signal and stopping intake,fault_handling,22,40,0.55
drone,signal_environment,0,GPS signal loss triggering position loss failsafe,gps_loss,23,40,0.575
elevator,passenger,1,Enter car when doors open and select destination floor,boarding,24,40,0.6
drone,ground_target,1,IR-LOCK beacon emission for IR-based precision landing,landing_pad,24,40,0.6
smart_factory,human_worker,3,Manual loading and unloading task at AGV station,manual_task,24,40,0.6
elevator,passenger,5,Press emergency alarm button to call building attendant or emergency line,emergency_request,25,40,0.625
drone,signal_environment,6,Wideband GPS jamming causing loss of fix,gps_jam,26,40,0.65
elevator,building_system,0,Fire alarm activation triggering Phase 1 fire service recall,fire_response,28,40,0.7
elevator,elevator_car,3,Electrical safety circuit activation stopping car movement immediately,electrical_safety,29,40,0.725
elevator,elevator_car,0,Door open and close with light curtain obstruction detection at 50mm resolution,door_safety,30,40,0.75
smart_factory,conveyor_system,4,"Conveyor general safety: start warning, controlled stopping, guarding",general_operation,30,40,0.75
smart_factory,other_agv,2,Obstacle and other-vehicle detection causing protective stop,collision_avoidance,30,40,0.75
smart_factory,other_agv,5,Multi-AGV path planning and conflict resolution,traffic_management,32,40,0.8
drone,signal_environment,2,GPS noise and position drift during simulation,gps_degrade,33,40,0.825
elevator,building_system,2,Seismic sensor activation initiating elevator earthquake response,seismic_response,35,40,0.875
elevator,passenger,0,Press hall call button (up or down) and wait for car arrival,request_call,38,40,0.95
elevator,passenger,7,Press multiple destination floors during single ride,request_call,38,40,0.95
